user_hash,is_generic_email,account_active,login_count,fail_login_count,days_since_signup,days_since_last_login,signup_hour,signup_day_of_week,signup_month,last_login_hour,last_login_day_of_week,has_first_name,has_last_name,profile_completeness,workspace_count,organization_count,role_count,is_admin,is_guest,has_avatar,mfa_enabled,login_frequency,churned
168a630d40d0080d6d8ec192ad05726d,0,1,295,0,1719.12,0.31,11,2,5,14,6,1,1,2,3,3,9,1,0,1,1,0.1716,0
335cb592a08818c7511df4fdcc4432d0,0,1,30,0,85.97,0.75,4,4,10,4,6,1,1,2,1,1,3,0,0,1,0,0.3490,0
976370405853a7f37bce7ecd9760557c,0,1,7,0,46.93,0.90,2,1,12,0,6,1,1,2,2,2,10,1,0,1,0,0.1492,0
416a6dc82759acef7506c7860a449cd7,0,1,2,0,872.57,0.92,10,1,8,0,6,1,1,2,1,1,4,1,0,1,0,0.0023,0
c804d204ac6ec3104ff5830b0a381572,0,1,22,0,199.28,1.00,15,2,7,22,5,0,0,0,1,1,3,0,0,1,0,0.1104,0
f0c7caf4d07e0a40988948c3b23ece44,0,1,14,0,241.32,1.01,14,2,5,21,5,1,1,2,1,1,6,1,0,1,0,0.0580,0
a285c14290e7819f9f816ffef2ca224d,0,1,30,0,872.44,1.06,10,1,8,20,5,1,1,2,1,1,4,1,0,1,0,0.0344,0
9a3d77dd94db843d5cc8c17902645f38,0,1,28,0,94.28,1.11,12,2,10,19,5,0,0,0,1,1,3,0,0,1,0,0.2970,0
cea723d1304e9612d3f4e76580cf1908,0,1,4,0,872.24,1.25,10,1,8,16,5,1,1,2,1,1,4,1,0,1,0,0.0046,0
9b8879a3d1802ccbf607c0e17450c0ed,0,1,78,0,73.15,1.28,11,2,11,15,5,1,1,2,1,1,3,1,0,1,0,1.0663,0
40d6ff5ba0482956ce1c0c91e46da435,0,1,2,0,872.21,1.29,10,1,8,15,5,1,1,2,1,1,4,1,0,1,0,0.0023,0
5703cf781441caff09d141a0620d84ff,0,1,7,0,842.14,1.31,11,3,9,14,5,1,1,2,1,1,6,1,0,1,0,0.0083,0
7a4d0c1c59f464ba78ff5fd624f496c4,0,1,7,0,934.00,1.33,14,2,6,14,5,1,1,2,1,1,7,1,0,0,0,0.0075,0
94fe611bcb3b09470481e158b17ad4d2,0,1,37,0,353.07,1.33,12,2,1,14,5,1,1,2,1,1,6,1,0,1,0,0.1048,0
42390fc77ee0f3a4da35aa2500e6ea62,0,1,20,0,555.66,1.33,22,2,7,14,5,1,1,2,1,1,6,1,0,1,0,0.0360,0
997ef8e0b2e1f945e802a0b4d4b985c5,0,1,498,0,869.21,1.34,8,4,8,14,5,1,1,2,67,36,225,1,1,1,0,0.5729,0
3dbae78a00a6973f1bf01ad672ee70ab,0,1,14,0,872.00,1.50,10,1,8,10,5,0,0,0,1,1,5,0,0,1,0,0.0161,0
d6a7b1f4ab15ec5f1e16e3c833617ffe,0,1,91,0,701.01,1.54,8,4,2,9,5,1,1,2,1,1,6,1,0,1,0,0.1298,0
df3d9a4763b6af3b97230970108cd4f5,0,1,7,0,49.75,1.54,15,4,11,9,5,1,1,2,1,1,3,1,0,1,0,0.1407,0
1fed9dbad2ec2aa96cac563be2b20971,0,1,12,0,871.94,1.55,10,1,8,8,5,1,1,2,1,1,4,1,0,1,0,0.0138,0
a64e5289c1374c7d1d6726a264535ff5,0,1,383,0,934.74,1.59,14,1,6,8,5,1,1,2,1,1,7,1,0,1,0,0.4097,0
2cc5ae5fefb738da772fa8258a534394,0,1,11,0,135.92,1.60,9,2,9,7,5,1,1,2,1,1,3,1,0,1,0,0.0809,0
61ec852b8e7f94f6f076beca60936d7d,0,1,2,0,38.67,1.61,15,1,12,7,5,1,1,2,1,1,3,1,0,1,0,0.0517,0
3408a0bc8779f5fb8b2ef24754dc2521,0,1,48,0,871.87,1.62,10,1,8,7,5,0,0,0,1,1,5,0,0,1,0,0.0551,0
